2015,2016,2017,2018
RBCAA,WMC,VR,UIHC
RCAP,WMIH,VRTS,UMBF
RDN,WNEB,WABC,UMPQ
RE,WRB,WAFD,UNB
REG,WRLD,WAL,UNM
RESI,WSBC,WASH,UNTY
REXI,WSBF,WBS,USB
REXR,WSFS,WD,UVE
RF,WTBA,WDR,UVSP
RGA,WTFC,WETF,VALU
RHP,WTM,WFBI,VBTX
RJF,XBKS,WFC,VIRT
RLGY,XL,WHG,VLY
RLI,Y,WLTW,VOYA
RLJ,YDKN,WMC,VRTS
RM,ZION,WMIH,WABC
RMAX,,WNEB,WAFD
RMR,,WRB,WAL
RNR,,WRLD,WASH
RNST,,WSBC,WBS
ROIC,,WSBF,WD
RPAI,,WSFS,WDR
RPT,,WTBA,WETF
RSE,,WTFC,WFC
RSO,,WTM,WHG
RWT,,XBKS,WLTW
RYN,,XL,WMC
SAFT,,Y,WNEB
SASR,,ZION,WRB
SBCF,,,WRLD
SBNY,,,WSBC
SBRA,,,WSBF
SBSI,,,WSFS
SBY,,,WTBA
SC,,,WTFC
SCHW,,,WTM
SCNB,,,XAN
SEIC,,,Y
SF,,,ZION
SFBS,,,
SFE,,,
SFG,,,
SFNC,,,
SGBK,,,
SGM,,,
SHO,,,
SIGI,,,
SIR,,,
SIVB,,,
SKT,,,
SLG,,,
SLM,,,
SNBC,,,
SNC,,,
SNH,,,
SNR,,,
SNV,,,
SPG,,,
SRC,,,
SRCE,,,
SSB,,,
SSS,,,
STAG,,,
STAR,,,
STBA,,,
STBZ,,,
STC,,,
STFC,,,
STI,,,
STL,,,
STOR,,,
STT,,,
STWD,,,
SUI,,,
SWAY,,,
SYA,,,
SYBT,,,
SYF,,,
TBBK,,,
TBK,,,
TBNK,,,
TCB,,,
TCBI,,,
TCBK,,,
TCO,,,
TFSL,,,
THFF,,,
THG,,,
TIPT,,,
TLMR,,,
TMK,,,
TMP,,,
TOWN,,,
TPRE,,,
TRC,,,
TREE,,,
TRMK,,,
TRNO,,,
TROW,,,
TRST,,,
TRV,,,
TSC,,,
TWO,,,
UBA,,,
UBNK,,,
UBSH,,,
UBSI,,,
UCBI,,,
UCFC,,,
UDF,,,
UDR,,,
UE,,,
UFCS,,,
UHT,,,
UIHC,,,
UMBF,,,
UMH,,,
UMPQ,,,
UNM,,,
USB,,,
UVE,,,
UVSP,,,
VER,,,
VIRT,,,
VLY,,,
VNO,,,
VOYA,,,
VR,,,
VRTS,,,
VTR,,,
WABC,,,
WAC,,,
WAFD,,,
WAL,,,
WASH,,,
WBS,,,
WD,,,
WDR,,,
