Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Year
NPK,NATIONAL PRESTO INDUSTRIES INC,Equity,0,93.6,1112,104083.2,-,Consumer Discretionary,2626802,US6372151042,New York Stock Exchange Inc.,2011
LOPE,GRAND CANYON EDUCATION INC,Equity,0,15.96,6524,104123.04,-,Consumer Discretionary,B3F1XM1,US38526M1062,NASDAQ,2011
LRN,K12 INC,Equity,0,17.94,5910,106025.4,-,Consumer Discretionary,B29ZB62,US48273U1025,New York Stock Exchange Inc.,2011
ZQKSQ,QUIKSILVER INC,Equity,0,3.61,29480,106422.8,-,Consumer Discretionary,2717557,US74838C1062,Non-Nms Quotation Service (Nnqs),2011
DW,LCI INDUSTRIES INC,Equity,0,24.53,4342,106509.26,-,Consumer Discretionary,2280695,US26168L2051,New York Stock Exchange Inc.,2011
LAD,LITHIA MOTORS INC CLASS A,Equity,0,21.86,5018,109693.48,-,Consumer Discretionary,2515030,US5367971034,New York Stock Exchange Inc.,2011
NILE,BLUE NILE INC.,Equity,0,40.88,2732,111684.16,-,Consumer Discretionary,B00G5P7,US09578R1032,NASDAQ,2011
CECO,CAREER EDUCATION CORP,Equity,0,7.97,14175,112974.75,-,Consumer Discretionary,2143646,US1416651099,NASDAQ,2011
MTOR,MERITOR INC,Equity,0,5.32,21465,114193.8,-,Consumer Discretionary,2608349,US59001K1007,New York Stock Exchange Inc.,2011
AM,AMERICAN GREETINGS CORP. CL A,Equity,0,12.51,9193,115004.43,-,Consumer Discretionary,2026866,US0263751051,New York Stock Exchange Inc.,2011
CCO,CLEAR CHANNEL OUTDOOR HOLDINGS INC,Equity,0,12.55,9304,116765.2,-,Consumer Discretionary,B0P01M3,US18451C1099,New York Stock Exchange Inc.,2011
KBH,KB HOME,Equity,0,6.72,17506,117640.32,-,Consumer Discretionary,2485070,US48666K1097,New York Stock Exchange Inc.,2011
CPLA,CAPELLA EDUCATION,Equity,0,36.05,3318,119613.9,-,Consumer Discretionary,B0GWDP5,US1395941057,NASDAQ,2011
FR1A,FREDS INC CLASS A,Equity,0,14.58,8496,123871.68,-,Consumer Discretionary,5794041,US3561081007,Deutsche Boerse Xetra,2011
ILG,INTERVAL LEISURE GROUP INC,Equity,0,13.61,9149,124517.89,-,Consumer Discretionary,B3CLS07,US46113M1080,NASDAQ,2011
ASCA,AMERISTAR CASINOS INC.,Equity,0,17.29,7311,126407.19,-,Consumer Discretionary,2041717,US03070Q1013,NASDAQ,2011
COLM,COLUMBIA SPORTSWEAR,Equity,0,46.55,2753,128152.15,-,Consumer Discretionary,2229126,US1985161066,NASDAQ,2011
SGMS,SCIENTIFIC GAMES CORP CLASS A,Equity,0,9.7,13214,128175.8,-,Consumer Discretionary,2919290,US80874P1093,NASDAQ,2011
CHRS,CHARMING SHOPPES,Equity,0,4.9,26422,129467.8,-,Consumer Discretionary,2187741,US1611331034,NASDAQ,2011
SBGI,SINCLAIR BROADCAST GROUP INC CLASS,Equity,0,11.33,11454,129773.82,-,Consumer Discretionary,2799351,US8292261091,NASDAQ,2011
ETH,ETHAN ALLEN INC,Equity,0,23.71,5478,129883.38,-,Consumer Discretionary,2320825,US2976021046,New York Stock Exchange Inc.,2011
PBY,PEP BOYS MANNY MOE AND JACK,Equity,0,11,11813,129943,-,Consumer Discretionary,2681447,US7132781094,New York Stock Exchange Inc.,2011
OXM,OXFORD INDUSTRIES INC,Equity,0,45.12,2908,131208.96,-,Consumer Discretionary,2665300,US6914973093,New York Stock Exchange Inc.,2011
BLC,BELO CORP. SERIES A,Equity,0,6.3,21042,132564.6,-,Consumer Discretionary,2090775,US0805551050,New York Stock Exchange Inc.,2011
ZUMZ,ZUMIEZ INC,Equity,0,27.76,4835,134219.6,-,Consumer Discretionary,B081QB7,US9898171015,NASDAQ,2011
SAH,SONIC AUTOMOTIVE INC CLASS A,Equity,0,14.81,9153,135555.93,-,Consumer Discretionary,2125246,US83545G1022,New York Stock Exchange Inc.,2011
ODP,OFFICE DEPOT INC,Equity,0,2.15,63070,135600.5,-,Consumer Discretionary,2655981,US6762201068,NASDAQ,2011
LZB,LA-Z-BOY INC,Equity,0,11.9,11793,140336.7,-,Consumer Discretionary,2508405,US5053361078,New York Stock Exchange Inc.,2011
PNK,PINNACLE ENTERTAINMENT INC,Equity,0,10.16,14063,142880.08,-,Consumer Discretionary,2432225,US7234561097,NASDAQ,2011
ABG,ASBURY AUTOMOTIVE GROUP INC.,Equity,0,21.56,6640,143158.4,-,Consumer Discretionary,2855855,US0434361046,New York Stock Exchange Inc.,2011
RGR,STURM RUGER INC,Equity,0,33.46,4289,143509.94,-,Consumer Discretionary,2856289,US8641591081,New York Stock Exchange Inc.,2011
SHFL,SHUFFLE MASTER INC.,Equity,0,11.72,12272,143827.84,-,Consumer Discretionary,2805980,US8255491081,NASDAQ,2011
DNKN,DUNKIN BRANDS GROUP INC,Equity,0,24.98,5820,145383.6,-,Consumer Discretionary,B3LHT03,US2655041000,NASDAQ,2011
MTH,MERITAGE CORP,Equity,0,23.19,6343,147094.17,-,Consumer Discretionary,2601326,US59001A1025,New York Stock Exchange Inc.,2011
VRA,VERA BRADLEY INC,Equity,0,32.25,4577,147608.25,-,Consumer Discretionary,B4626P4,US92335C1062,NASDAQ,2011
CHDN,CHURCHILL DOWNS INC,Equity,0,52.13,2850,148570.5,-,Consumer Discretionary,2194105,US1714841087,NASDAQ,2011
AXL,AMERICAN AXLE AND MANUFACTURING HO,Equity,0,9.89,15181,150140.09,-,Consumer Discretionary,2382416,US0240611030,New York Stock Exchange Inc.,2011
MDC,MDC HOLDINGS INC,Equity,0,17.63,8525,150295.75,-,Consumer Discretionary,2561204,US5526761086,New York Stock Exchange Inc.,2011
PFCB,P.F. CHANGS CHINA BISTRO INC.,Equity,0,30.91,4866,150408.06,-,Consumer Discretionary,2321204,US69333Y1082,NASDAQ,2011
